,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
54,021112-SS,02,11,2012,The Believers,SS,1,Gene Siskel Film Center,1.5,97,0,0,0,0
55,022312-TEI,02,23,2012,Nanotechnology,TEI,1,NW Hughes Auditorium,1.5,69,0,2,0,0
56,031612-PS,03,16,2012,About Time,PS,1,NW Hughes Auditorium,1.5,53,0,1,0,0
57,032912-CEE,03,29,2012,China's Clean Energy,CEE,1,NW Hughes Auditorium,1.5,55,0,2,0,0
58,041912-LS,04,19,2012,Oceans' Health,LS,1,NW Hughes Auditorium,1.5,52,0,2,1,0
59,050112-PS,05,01,2012,CERN,PS,1,Chicago Club,1.5,73,0,1,0,0
60,051212-SS,05,12,2012,WiS 2012,SS,1,NW Hughes Auditorium,1.5,210,0,0,12,6
61,091512-SS,09,15,2012,Ask a Scientist at Argonne,SS,1,Argonne National Laboratory,1.5,150,0,3,1,0
62,092012-TEI,09,20,2012,America's Digital Tomorrow,TEI,1,Flashpoint Media Academy,1.5,55,0,1,0,0
63,101012-SS,10,10,2012,CSI: Picasso,SS,1,IIT McCloska Auditorium,1.5,40,0,0,2,0
64,101112-PS,10,11,2012,Exploring the Universe from the Bottom of the World,PS,1,"School of the Art Institute, SAIC Ballroom",1.5,95,0,1,0,0
65,110112-SS,11,01,2012,Networking,SS,1,Peggy Notebart Nature Museum,1.5,65,0,0,0,0
66,110812-SS,11,08,2012,"Evidence, Crime and the Law",SS,1,NW Hughes Auditorium,1.5,80,0,1,0,0
67,120412-HW,12,04,2012,Alzheimer's and Aging,HW,2,NW Lincoln Room,2,130,0,1,3,0
68,012513-CEE,01,25,2013,"CP-1 Past, Present and Future of Nuclear Energy",CEE,1,NW Baldwin Auditorium,1.5,86,43,3,0,0
69,022113-LS,02,21,2013,Bioluminescence,LS,1,McDermott Will and Emery,1.5,97,43,1,0,0
70,022313-SS,02,23,2013,Ted X Windy City Contrast,SS,1,NW Thorne Auditorium ,1.5,750,43,5,4,0
71,022313-TEI,02,23,2013,Hackathon MonkeyBars' Spring Build,TEI,1,IIT Technology Park,1.5,150,43,0,0,0
72,030713-SS,03,07,2013,"Spies, Satellites and Archaelogy",SS,1,Oriental Institute at University of Chicago,1.5,41,43,1,0,0
73,031313-SS,03,13,2013,Music and the Brain,SS,1,NW Hughes Auditorium,1.5,62,43,1,1,0
74,032113-TEI,03,21,2013,Economic Innovation,TEI,1,NW Lincoln Room,1.5,21,43,2,0,0
75,040313-TEI,04,03,2013,Chemical Innovations,TEI,1,NW Baldwin Auditorium,1.5,28,132,1,0,0
76,080113-PS,08,01,2013,Physics Baseball I,PS,1,US Cellular Field,1.5,150,65,0,0,0
77,080213-PS,08,02,2013,Physics Baseball II,PS,1,US Cellular Field,1.5,142,0,1,0,0
78,091013-TEI,09,10,2013,The Landscape of Techpark Innovation,TEI,1,1871,1.5,75,0,4,1,0
79,092413-LS,09,24,2013,Out for the Sperm Count,LS,1,NW Baldwin Auditorium,1.5,38,46,1,0,0
80,102413-CEE,10,24,2013,The Price of Doing Nothing ,CEE,1,NW Baldwin Auditorium,1.5,82,79,1,0,0
81,102913-LS,10,29,2013,Science with the Pint: Our Curious Chemical World,LS,1,Hopleaf Bar,1.5,25,0,2,1,0
82,111213-TEI,11,12,2013,Epidermal Electronics ,TEI,1,NW Baldwin Auditorium,1.5,85,130,1,0,0
83,111313-SS,11,13,2013,FBI ,SS,1,Loyola ,1.5,165,65,1,0,0
84,121113-TEI,12,11,2013,Nano I,TEI,1,NW Hughes Auditorium,1.5,78,120,0,0,0
85,012214-TEI,01,22,2014,The Order of Crystallography,TEI,1,NW Hughes Auditorium,1.5,38,40,2,0,0
86,013014-TEI,01,30,2014,Nano 2 at Argonne,TEI,1,Argonne National Laboratory,1.5,120,24,0,1,0
87,022614-LS,02,26,2014,Matter into Medicince,LS,1,NW Hughes Auditorium,1.5,90,30,0,1,0
88,031214-0,03,12,2014,IFSH - Is This Safe to Eat?,0,1,NW Hughes Auditorium,1.5,40,18,2,0,0
89,040214-PS,04,02,2014,Star Trek,PS,1,UIC BSB room 250,1.5,125,48,1,0,0
90,040314-LS,04,03,2014,Your Inner Fish,LS,1,Reva and David Logan Center for the Arts,1.5,130,0,2,0,0
91,043014-CEE,04,30,2014,The Multiplication of Threats,CEE,2,NW Hughes Auditorium,2,90,0,3,1,0
