ProgramID,month,day,year,Program Title,program_type_id,fb_post,yt_video,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal),program_series_id
11122015_SS,11,12,2015,A Picture is Worth 1000 Words - Teaching Science with Comics,1,,,"Baldwin Auditorium, Northwestern University",1.5,57,0,0,1,0,2
11172015_TEI,11,17,2015,C2ST Speakeasy: Robot Revolution,3,,,Geek Bar Chicago Beta,1.5,54,0,0,2,0,6
12012015_HW,12,1,2015,C2ST Speakeasy: Feeling Down? Maybe it's the Season.,3,,,Geek Bar Chicago Beta,1.5,21,0,0,1,1,5
12012015_SS,12,1,2015,2015 Women in STEM: Connect,1,,,SAIC Ballroom,1.5,125,12,0,4,2,2
12152015_TEI,12,15,2015,C2ST Speakeasy: Machine Learning and Medical Imaging,3,,,Geek Bar Chicago Beta,1.5,38,0,1,0,0,6
01052016_CEE,1,5,2016,C2ST Speakeasy: Getting More Electricity out of Sunlight,3,,,Geek Bar Chicago Beta,1.5,51,0,1,0,0,3
01192016_PS,1,19,2016,C2ST Speakeasy: Playback From Pluto,3,,,Geek Bar Chicago Beta,1.5,34,0,1,0,0,1
02022016_LS,2,2,2016,C2ST Speakeasy: Saving Giants of the Amazon,3,,,Geek Bar Chicago Beta,1.5,20,0,0,1,1,4
02162016_PS,2,16,2016,C2ST Speakeasy: The Dark Path to our Being,3,,,Geek Bar Chicago Beta,1.5,40,0,1,0,1,1
02252016_HW,2,25,2016,How we Treat Cancer,1,,,Matter,1.5,88,14,2,1,0,5
03022016_CEE,3,2,2016,The Future of Solar Energy,1,,,IIT,1.5,197,0,1,0,0,3
03092016_CEE,3,9,2016,Climate Disruption: What we can do now,1,,,1871,1.5,70,9,1,0,0,3
03152016_LS,3,15,2016,C2ST Speakeasy: Cannabis and the Developing Brain,3,,,Geek Bar Chicago Beta,1.5,30,0,1,0,1,4
03232016_HW,3,23,2016,The Science of Addiction,1,,,DePaul - Lincoln Park,1.5,105,45,2,2,0,5
03312016_SS,3,31,2016,Roadmap for Inclusion,1,,,"Gleacher Center, Uchicago",1.5,95,0,0,1,0,2
04092016_SS,4,9,2016,The Myth of Brain Sex,1,,,UIC Moss Auditorium,1.5,65,0,1,1,1,2
06062016_TEI,6,6,2016,C2ST Speakeasy: Urban Farming and Closed-Loop Production,3,,,Pint,1.5,50,0,1,0,0,6
06112016_SS,6,11,2016,What's Going on at The Plant?,1,,,Plant Chicago,1.5,52,0,2,1,1,2
07052016_HW,7,5,2016,C2ST Speakeasy: Summer of Zika,3,,,Pint,1.5,35,0,1,0,0,5
08022016_HW,8,2,2016,C2ST Speakeasy: The hype versus the science of meditation and mindfulness,3,,,Pint,1.5,35,0,0,1,0,5
08172016_LS,8,17,2016,The Secret Life of Female Chimpanzees,1,,,Harold Washington Library,1.5,91,20,0,1,0,4
09062016_HW,9,6,2016,C2ST Speakeasy: Inherited effects of teenage binge drinking,3,,,Pint,1.5,10,0,0,1,0,5
09282016_CEE,9,28,2016,The Heart of Marine Biodiversity: Saving the Verde Island Passage,2,,,Shedd Aquarium,2,130,106,2,0,1,3
10042016_SS,10,4,2016,C2ST Speakeasy: Metabolism of a Marathon,3,,,Pint,1.5,22,0,0,1,0,2
10062016_SS,10,6,2016,Hacking the Brain to Find Ourselves,1,,,Loyola University Center for Translational Research & Education (Maywood Location),1.5,44,0,1,0,0,2
10272016_HW,10,27,2016,How the Indoor Microbiome Influence Health,1,,,British International School (Lincoln Park Location),1.5,63,17,1,0,0,5
11172016_CEE,11,17,2016,Climate Change and Energy Needs: Finding a Path to Sustainability,2,,,IIT Kent College of Law,2,180,27,0,1,0,3
12062016_PS,12,6,2016,"C2ST Speakeasy: Navigation Across the Oceans, Earth, and Space",3,,,Pint,1.5,52,0,1,0,0,1
01102017_HW,1,10,2017,C2ST Speakeasy: Why in the World Haven’t We Cured Alzheimer’s by Now?,3,,,Radler,1.5,62,0,0,1,0,5
01282017_TEI,1,28,2017,Devil Hack 1.00,4,,,Warren Township High School,26,117,0,4,2,1,6
02062017_PS,2,6,2017,The Physics of Baseball: What Newton said to the Billygoat,1,,,Gwendolyn Brooks College Prep,1.5,73,0,1,0,0,1
02072017_SS,2,7,2017,C2ST Speakeasy: Sexy Stems: Aphrodisiac Plants that Cause Love to Bloom,3,,,Radler,1.5,61,0,0,1,0,2
02092017_PS,2,9,2017,From Quarks to the Cosmos,1,,,Hyatt Regency Ballroom,1.5,162,0,1,0,0,1
03072017_LS,3,7,2017,Speakeasy: Tales from the Sea: How do baby fish and other marine species find forever homes?,3,,,Pint,1.5,51,0,1,0,0,4
03222017_CEE,3,22,2017,Recent Advances in CO2 Storage Science and Technology,1,,,"Perlstein Hall Auditorium, IIT",1.5,133,7,0,1,0,3
03302017_PS,3,30,2017,Baseball: It’s Not Nuclear Physics—Or Is It?,1,,,Harold Washington Library,1.5,75,28,1,0,0,1
