in_programs_tbl,video_code,Video,video_title,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
N,11112015_U,C-bVBEQJNs4,FAILURE: Why Science is so Successful - Highlights,11,11,2015,293,8.672,2,1073,4.1
N,01232019_U,MLcuPrwSajY,Indigenous Science: Ethnobotany and Conservation Practices,1,23,2019,288,30.1134,2,4874,1.56
N,05022012_U,kb_mGiGvZ1o,Tesla Lecture,5,2,2012,279,8.2026,1,2421,2.15
N,11072013_U,KH34H5IcUHo,"C2ST: Stem Cells & Nanotechnology :The tools of Regenerative methods- Kessler, Sam Stupp",11,7,2013,257,25.3867,0,3464,2.11
N,05092012_U,IEZxVsYpmEA,About Time: Cosmology and Culture at the Twilight of the Big Bang  3/16/12  - Adam Frank,5,9,2012,255,50.1621,0,1377,2.69
N,07012020_U,958M_ihtk-k,An Evening Inside the Multiverse,7,1,2020,252,50.238,5,4389,1.71
Y,06252020_TEI,C1NfFO3nWs8,Forensic Genomic Technologies: New Frontiers Bring New Considerations,6,26,2020,243,37.4757,4,2735,1.94
N,09162014_U,WWpdZ5-5VZE,"Superintelligence: Paths, Dangers, and Strategies Highlight - Nick Bostrom",9,16,2014,235,9.1188,0,3662,1.99
N,10272018_U,bu92a659sZU,Science Riot -Stephanie Timpone,10,27,2018,231,13.4046,0,1596,5.33
N,10252019_U,SKMaKxb2b70,Interview: The Earliest Child The Significance of “Selam”,10,25,2019,227,10.1559,0,1249,1.6
Y,04062017_SS,lCA1sjg9o_A,The Usefulness of Useless Knowledge,4,11,2017,221,17.1245,3,2405,1.37
N,06032014_U,SWJjlrhBvDc,The Real Science Behind Star Trek - Dirk K. Morr,6,3,2014,215,21.6947,0,2558,2.35
N,04262017_U,k3MDYK3W7pE,Making Things Meaningful in the Ice Age Highlights With Margaret W. Conkey,4,26,2017,215,7.767,0,3009,1.46
N,05052019_U,9-c0LmhdBRQ,The Science of Star Wars Presentation,5,5,2019,206,24.3651,0,1111,1.53
N,05242018_U,B0uMII_u_C4,Science Riot - James Schwabacher,5,24,2018,204,13.7834,-1,546,2.56
N,04182017_U,E9AuEIUplp8,Physics of Baseball Highlights with Alan Nathan,4,18,2017,198,6.0201,0,1087,2.48
N,12042015_U,we32-od7vPI,"ChicaGO Science - Mary Bauer, C2ST, and HDMZ",12,4,2015,195,4.1145,0,2658,1.35
N,06212012_U,kW2UHBcD8sk,CERN: What's it all about? 5/1/12 - Young- Kee Kim,6,21,2012,188,11.4823,1,3184,2.01
N,12062013_U,h3fy2ZLlanM,Body & Machine - Epidermal Electronics - John Rogers,12,6,2013,178,24.3336,1,1880,2.45
N,10212019_U,ERVoXLUY_JI,Trailblazer of Physics: The Extraordinary Life of Leon Lederman Program,10,21,2019,176,29.4673,2,1899,0.79
Y,07112017_LS,yk0H0aZMfHk,Antibiotic Hunters: Discovering Drugs in the Ocean,7,13,2017,171,7.2247,1,3690,1.25
