Date,Program Title,Live Stream,YouTube Views,FB Views,Attendance (in seats),Hours,Program Series,Venue,Type of Program,Male Speakers,Female Speakers,People of Color (informal),# of Speakers,Partner/ event,Total Viewing,,,,,,
10/20/15,C2ST Speakeasy: A Diamond Age of Microelectronics,,,,34,1.5,TEI,Geek Bar Chicago Beta,Speakeasy,1,0,1,1,,34,,,,,,
10/21/15,Failure: Why Science is so Successful,4,59,,57,1.5,SS,Chicago Tech Academy High School,Original,1,0,0,1,,61,,,,,,
11/3/15,C2ST Speakeasy: What's the deal with wearable technology?,,,,42,1.5,TEI,Geek Bar Chicago Beta,Speakeasy,1,0,1,1,,42,,,,,,
11/12/15,A Picture is Worth 1000 Words - Teaching Science with Comics,,70,,57,1.5,SS,"Baldwin Auditorium, Northwestern University",Original,0,1,0,1,,57,,,,,,
11/17/15,C2ST Speakeasy: Robot Revolution,,,,54,1.5,TEI,Geek Bar Chicago Beta,Speakeasy,0,2,0,2,,54,,,,,,
12/1/15,C2ST Speakeasy: Feeling Down? Maybe it's the Season.,,,,21,1.5,HW,Geek Bar Chicago Beta,Speakeasy,0,1,1,1,,21,,,,,,
12/1/15,2015 Women in STEM: Connect,12,16,,125,1.5,SS,SAIC Ballroom,Original,0,4,2,4,,137,,,,,,
12/15/15,C2ST Speakeasy: Machine Learning and Medical Imaging,,,,38,1.5,TEI,Geek Bar Chicago Beta,Speakeasy,1,0,0,1,,38,,,,,,
1/5/16,C2ST Speakeasy: Getting More Electricity out of Sunlight,,,,51,1.5,CEE,Geek Bar Chicago Beta,Speakeasy,1,0,0,1,,51,,,,,,
1/19/16,C2ST Speakeasy: Playback From Pluto,,,,34,1.5,PS,Geek Bar Chicago Beta,Speakeasy,1,0,0,1,,34,,,,,,
2/2/16,C2ST Speakeasy: Saving Giants of the Amazon,,,,20,1.5,LS,Geek Bar Chicago Beta,Speakeasy,0,1,1,1,,20,,,,,,
2/16/16,C2ST Speakeasy: The Dark Path to our Being,,,,40,1.5,PS,Geek Bar Chicago Beta,Speakeasy,1,0,1,1,,40,,,,,,
2/25/16,How we Treat Cancer,14,,,88,1.5,HW,Matter,Original,2,1,0,3,,102,,,,,,
3/2/16,The Future of Solar Energy,,,,197,1.5,CEE,IIT,Original,1,0,0,1,"WISER, Armour College of Engineering ",197,,,,,,
3/9/16,Climate Disruption: What we can do now,9,,,70,1.5,CEE,1871,Original,1,0,0,1,,79,,,,,,
3/15/16,C2ST Speakeasy: Cannabis and the Developing Brain,,,,30,1.5,LS,Geek Bar Chicago Beta,Speakeasy,1,0,1,1,"Geek Bar, Chicago Chapter of the Society for Neuroscience",30,,,,,,
3/23/16,The Science of Addiction,45,,,105,1.5,HW,DePaul - Lincoln Park,Original,2,2,0,4,Chicago Chapter of the Society for Neuroscience,150,,,,,,
3/31/16,Roadmap for Inclusion,,,,95,1.5,SS,"Gleacher Center, Uchicago",Original,0,1,0,1,AWIS,95,,,,,,
4/9/16,The Myth of Brain Sex,,,,65,1.5,SS,UIC Moss Auditorium,Original,1,1,1,2,Chicago Chapter of the Society for Neuroscience,65,,,,,,
6/6/16,C2ST Speakeasy: Urban Farming and Closed-Loop Production,,,,50,1.5,TEI,Pint,Speakeasy,1,0,0,1,Pint; Plant Chicago,50,,,,,,
6/11/16,What's Going on at The Plant?,,,,52,1.5,SS,Plant Chicago,Original,2,1,1,3,Plant Chicago,52,,,,,,
7/5/16,C2ST Speakeasy: Summer of Zika,,,,35,1.5,HW,Pint,Speakeasy,1,0,0,1,Pint,35,,,,,,
8/2/16,C2ST Speakeasy: The hype versus the science of meditation and mindfulness,,,,35,1.5,HW,Pint,Speakeasy,0,1,0,1,Pint,35,,,,,,
8/17/16,The Secret Life of Female Chimpanzees,20,,,91,1.5,LS,Harold Washington Library,Original,0,1,0,1,Leakey,111,,,,,,
9/6/16,C2ST Speakeasy: Inherited effects of teenage binge drinking,,,,10,1.5,HW,Pint,Speakeasy,0,1,0,1,Pint,10,,,,,,
9/28/16,The Heart of Marine Biodiversity: Saving the Verde Island Passage,106,,,130,2,CEE,Shedd Aquarium,Signature,2,0,1,2,Shedd,236,,,,,,
10/4/16,C2ST Speakeasy: Metabolism of a Marathon,,,,22,1.5,SS,Pint,Speakeasy,0,1,0,1,Pint; HDMZ,22,,,,,,
10/6/16,Hacking the Brain to Find Ourselves,,,,44,1.5,SS,Loyola University Center for Translational Research & Education (Maywood Location),Original,1,0,0,1,Loyola; Chicago Chapter of the Society for Neuroscience,44,,,,,,
10/27/16,How the Indoor Microbiome Influence Health,17,,,63,1.5,HW,British International School (Lincoln Park Location),Original,1,0,0,1,British International School,80,,,,,,
11/17/16,Climate Change and Energy Needs: Finding a Path to Sustainability,27,,,180,2,CEE,IIT Kent College of Law,Signature,0,1,0,1,IIT,207,,,,,,
12/06/16,"C2ST Speakeasy: Navigation Across the Oceans, Earth, and Space",,,,52,1.5,PS,Pint,Speakeasy,1,0,0,1,Pint; Adler,52,,,,,,
01/10/17,C2ST Speakeasy: Why in the World Haven’t We Cured Alzheimer’s by Now?,,,,62,1.5,HW,Radler,Speakeasy,0,1,0,1,Radler; Chicago Chapter Society For Neuroscience,62,,,,,,
01/28/17,Devil Hack 1.00,,,,117,26,TEI,Warren Township High School,Booth,4,2,1,6,Akhan; Warren Township HS; Village of Gurnee; College of Lake County,117,,,,,,
02/06/17,The Physics of Baseball: What Newton said to the Billygoat,,,,73,1.5,PS,Gwendolyn Brooks College Prep,Original,1,0,0,1,NIU,73,,,,,,
02/07/17,C2ST Speakeasy: Sexy Stems: Aphrodisiac Plants that Cause Love to Bloom,,,,61,1.5,SS,Radler,Speakeasy,0,1,0,1,Radler,61,,,,,,
02/09/17,From Quarks to the Cosmos,,,,162,1.5,PS,Hyatt Regency Ballroom,Original,1,0,0,1,Quark Matter 2017,162,,,,,,
03/07/17,Speakeasy: Tales from the Sea: How do baby fish and other marine species find forever homes?,,,,51,1.5,LS,Pint,Speakeasy,1,0,0,1,Pint; Shedd,0,,,,,,
03/22/17,Recent Advances in CO2 Storage Science and Technology,7,,,133,1.5,CEE,"Perlstein Hall Auditorium, IIT",Original,0,1,0,1,WISER; IIT Armour College,7,,,,,,
03/30/17,Baseball: It’s Not Nuclear Physics—Or Is It?,28,,,75,1.5,PS,Harold Washington Library,Original,1,0,0,1,Harold Washington Library,28,,,,,,
04/06/17,The Usefulness of Useless Knowledge,66,,,55,1.5,SS,The Arts Club Chicago,Original,1,0,0,1,IAS,66,,,,,,
04/11/17,Making Things Meaningful in the Ice Age,43,,,109,1.5,SS,"Conaway Center, Columbia College",Original,0,1,0,1,Leakey; Columbia College,43,,,,,,
04/20/17,Extreme Science: The U.S. Antarctic Program,15,,,70,1.5,CEE,MTCC,Original,0,1,0,1,IIT College of Science,15,,,,,,
04/22/17,March for Science Chicago Booth,0,,,615,3.5,SS,Museum Campus,Booth,1,3,1,4,March for Science Chicago,0,,,,,,
04/23/17,Party for the Planet Booth,0,,,220,6,SS,Brookfield Zoo,Booth,0,4,0,4,Brookfield Zoo,0,,,,,,
04/24/17,Nothing Academic: Science-themed Improv,0,,,130,2,SS,Comedy Clubhouse,Original,12,6,1,19,ASBMB,0,,,,,,
05/02/17,How the new genome-editing technologies in agriculture will change our everyday lives,0,,,49,1.5,LS,Alliance Francais,Original,0,1,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/04/17,"Black holes, supernovae, Big Bang: why are gravitational waves a revolutionary discovery?",0,,,67,1.5,PS,Alliance Francais,Original,1,0,0,1,French Consulate Chicago; French Innovation Week,0,,,,,,
05/10/17,Urban Nature: Behind the Scenes,0,,,47,1.5,LS,"Arts & Cinema (Room 310), Columbia College",Original,3,0,0,3,"Columbia College, WTTW, The Chicago International Film Festival",0,,,,,,
06/12/17,Lawrence Krauss: The Greatest Story Ever Told—So Far,100,,,99,1.5,SS,Pritzker Military Museum & Library,Original,1,0,0,1,Bulletin of Atomic Scienctists; Illinois Science Council,100,,,,,,
06/20/17,"Dietary Supplements: Stories of Regulation, Safety, and Evidence",0,,,40,1.5,HW,The Radler,Speakeasy,0,1,0,1,Radler,0,,,,,,
07/11/17,Antibiotic Hunters: Discovering Drugs in the Ocean,,,,60,1.5,LS,The Radler,Speakeasy,1,0,0,1,Radler,0,,,,,,
08/25/17,Curators: Behind the Scenes of Natural History Museums with Lance Grande,27,,,62,2,SS,Chicago Maritime Museum,Original,1,0,0,1,Chicago Maritime Museum,27,,,,,,
09/06/17,Fermilab and the New Frontiers of Physics,169,,,107,2,PS,Harold Washington Library,Original,3,1,1,4,Fermi; Chicago Public Library,169,,,,,,
09/12/17,Chicago's Potemkin Village,,,,40,1.5,TEI,The Radler,Speakeasy,1,0,0,1,Radler,0,,,,,,
09/23/17,Fermilab's Open House Booth,,,,220,8,SS,Fermilab,Booth,3,3,2,6,Fermi,0,,,,,,
09/26/17,New Developments in Mental Health,57,,,60,2,HW,Northwestern Baldwin Auditorium,Original,1,3,1,4,"Chicago Chapter of the Society for Neuroscience; ARCS Foundation-Illinois, NAMI Chicago",57,,,,,,
10/10/17,Technology and Politics,,,,47,1.5,TEI,The Radler,Speakeasy,0,1,0,1,Radler,0,,,,,,
10/12/17,Alesi: The life and death of an ancestor,58,,,71,1.5,LS,Walter Payton High School,Original,1,0,1,1,Leakey,58,,,,,,
11/13/17,Unconscious Bias,104,,,139,1.5,SS,1871,Signature,1,3,1,4,"Horizon Pharma, 1871",104,,,,,,
11/15/17,Math-It's as easy as Pi!,74,,,97,1.5,SS,Roosevelt U - Gantz Hall,Signature,0,1,1,1,,74,,,,,,
12/12/17,In Awe of the Northern Lights,,,,124,1.5,PS,The Radler,Speakeasy,1,0,1,1,Radler,0,,,,,,
12/14/17,Strengthening Our Energy Security Future,,,,58,1.5,CEE,Alliance Francais,Original,3,0,0,3,Veteran's Energy Seminar,0,,,,,,
01/16/18,Genes and Geography,,,,75,1.5,LS,Pint,Speakeasy,1,0,0,1,Pint,0,,,,,,
02/06/18,Our Chemical Romance,,,,48,1.5,SS,Pint,Speakeasy,0,1,0,1,Pint,0,,,,,,
02/20/18,Investing in Science and Education: An Act of Faith,,,,70,1,SS,"Founders Room, Field Museum",Signature,1,0,0,1,Field,0,,,,,,
03/15/18,NU Women in STEM and Academia Booth,,,,25,2,SS,Prentice Women's Hospital,Booth,0,1,0,1,Nortwestern,0,,,,,,
03/19/18,Personalized Medicine,88,,,61,1.5,HW,Northwestern Baldwin Auditorium,Signature,2,2,0,4,Abbvie,88,,,,,,
03/23/18,Science Riot - 1st Show,,,,115,2,SS,"Rice Hall, Field Museum",Original,9,3,4,12,Science Riot,0,,,,,,
04/04/18,Challenges and Opportunities in an Emerging Solar Economy,,,,115,1.5,CEE,IIT Perlstein Hall,Original,1,0,1,1,"WISER, IIT Armour College of Engineering",0,,,,,,
04/04/18,Science is a Verb. We Must Get Sciencing. The World Requires It!,,,,43,2,SS,Fortnightly,Original,0,1,0,1,ARCS,0,,,,,,
